seed,guide,true_fc,est_fc,bias,r_pearson,r_spearman
54,KO1,-2.0,-2.877425096558782,-0.877425096558782,0.036428399062059365,0.014071294559099438
54,KO2,-1.3219280948873622,-2.1909734230510916,-0.8690453281637294,0.1223658510500861,0.14183864915572234
54,KO3,-0.029146345659516508,-1.0061494331829275,-0.977003087523411,0.35374317338126177,0.43808630393996256
54,CA1,0.5849625007211562,-0.44160094075128686,-1.026563441472443,0.19486177107967095,0.20206378986866794
54,CA2,1.0,0.17911706156804907,-0.8208829384319509,0.12540360769941977,0.004315196998123829
55,NTC_1,0.0,-0.480870388077947,-0.480870388077947,0.47495387102544173,0.3413533834586466
55,KO1,-2.0,-2.3636232834331716,-0.36362328343317163,0.1556899776326515,0.11219512195121951
55,KO2,-1.3219280948873622,-1.5390545349590505,-0.21712644007168835,0.044142018679627734,0.053095684803001884
55,KO3,-0.029146345659516508,-0.3443199615947927,-0.3151736159352762,0.31778999925197615,0.301500938086304
55,CA1,0.5849625007211562,0.3704021949298655,-0.2145603057912907,0.4537238673740599,0.41801125703564734
55,CA2,1.0,0.7781408805377756,-0.22185911946222436,0.2707541146489254,0.21238273921200754
56,NTC_1,0.0,-0.45053734593317163,-0.45053734593317163,-0.007568735241389943,-0.08571428571428572
56,KO1,-2.0,-2.2655767422191824,-0.26557674221918237,0.10683440322457131,0.06979362101313322
56,KO2,-1.3219280948873622,-1.5481211166851248,-0.22619302179776257,0.28979738040126723,0.28874296435272045
56,KO3,-0.029146345659516508,-0.37514414601251733,-0.3459978003530008,0.3997909236512993,0.38536585365853665
56,CA1,0.5849625007211562,0.30427918620183814,-0.28068331451931805,0.1998595681706631,0.23433395872420262
56,CA2,1.0,0.6949637908466135,-0.3050362091533865,0.2767065850046824,0.20975609756097563
57,NTC_1,0.0,-1.5406180840007986,-1.5406180840007986,0.5401018725066036,0.7203007518796991
57,KO1,-2.0,-3.3166166763775076,-1.3166166763775076,0.17981377724947595,0.18649155722326455
57,KO2,-1.3219280948873622,-2.93998660855219,-1.618058513664828,0.17729608220646917,0.2058161350844278
57,KO3,-0.029146345659516508,-1.4978448372356619,-1.4686984915761454,0.1667678745627159,0.302251407129456
57,CA1,0.5849625007211562,-0.8344508629314626,-1.4194133636526187,0.08510913039956366,0.18630393996247654
57,CA2,1.0,-0.595855854081365,-1.595855854081365,-0.003266954004906812,0.03958724202626642
58,NTC_1,0.0,-0.1649347763530935,-0.1649347763530935,0.3289718340363943,0.20902255639097742
58,KO1,-2.0,-2.191134117173406,-0.191134117173406,0.20555797256339423,0.13602251407129456
58,KO2,-1.3219280948873622,-1.4257213097088064,-0.10379321482144421,0.4612861233053924,0.37242026266416517
58,KO3,-0.029146345659516508,-0.2134739380352224,-0.1843275923757059,-0.06271260001060783,-0.014071294559099438
58,CA1,0.5849625007211562,0.3510845679767405,-0.2338779327444157,0.6373063397568903,0.5977485928705442
58,CA2,1.0,1.0477226752765452,0.04772267527654517,0.40370647859544423,0.3801125703564729
59,NTC_1,0.0,-0.45697941594049585,-0.45697941594049585,0.38450480738201087,0.35488721804511275
59,KO1,-2.0,-2.337611578034612,-0.33761157803461206,0.37279337972682836,0.41744840525328336
59,KO2,-1.3219280948873622,-1.4561983566753591,-0.13427026178799695,0.23815769807290726,0.27729831144465295
59,KO3,-0.029146345659516508,-0.25646319203302514,-0.22731684637350863,0.037497595158940356,0.004690431519699813
59,CA1,0.5849625007211562,0.32199607081487525,-0.26296642990628094,0.24925827294654718,0.3084427767354597
59,CA2,1.0,0.9653433341510569,-0.03465666584894311,0.3740454173438565,0.33733583489681057
60,NTC_1,0.0,-0.12976660542413843,-0.12976660542413843,0.3975439717778327,0.20300751879699244
60,KO1,-2.0,-1.9129938107006277,0.08700618929937232,0.3821518178572855,0.3105065666041277
60,KO2,-1.3219280948873622,-1.4360228996746267,-0.11409480478726453,0.3284898932663108,0.27523452157598505
60,KO3,-0.029146345659516508,0.02208075709417212,0.05122710275368863,0.35369953555996586,0.28630393996247655
60,CA1,0.5849625007211562,0.6694158095844065,0.08445330886325031,0.4518392919530445,0.43602251407129466
60,CA2,1.0,1.057917453718928,0.05791745371892798,0.27523000005991594,0.2870544090056285
61,NTC_1,0.0,-0.13627352528497827,-0.13627352528497827,0.6319783263284151,0.6406015037593984
61,KO1,-2.0,-2.0916666012279714,-0.09166660122797143,0.4358780822042915,0.33808630393996253
61,KO2,-1.3219280948873622,-1.4897958260051931,-0.16786773111783093,0.17005556056747717,0.1803001876172608
61,KO3,-0.029146345659516508,-0.09262385182306421,-0.06347750616354769,0.41689140013054443,0.3694183864915573
61,CA1,0.5849625007211562,0.400601722670344,-0.1843607780508122,0.5071709998462071,0.453658536585366
61,CA2,1.0,0.7882193107135569,-0.2117806892864431,0.1859693171792895,0.15572232645403378
62,NTC_1,0.0,-0.38178458027765405,-0.38178458027765405,0.033694928412824246,0.17593984962406017
62,KO1,-2.0,-2.4961091499798025,-0.4961091499798025,0.029776495746229408,0.04484052532833021
62,KO2,-1.3219280948873622,-1.7383417110912527,-0.4164136162038905,0.35523989555269514,0.29943714821763606
62,KO3,-0.029146345659516508,-0.664067409562322,-0.6349210639028056,-0.06630038502857122,-0.0926829268292683
62,CA1,0.5849625007211562,-0.045446537064763426,-0.6304090377859196,0.16865396217562836,0.2041275797373359
62,CA2,1.0,0.5439976233966624,-0.45600237660333764,0.23478899340671014,0.2427767354596623
63,NTC_1,0.0,-0.039373539017888426,-0.039373539017888426,0.41337086996260214,0.3744360902255639
63,KO1,-2.0,-2.2098213654033865,-0.20982136540338647,0.28506505556999273,0.28461538461538466
63,KO2,-1.3219280948873622,-1.361546657609197,-0.03961856272183484,0.2911157217261387,0.3318949343339588
63,KO3,-0.029146345659516508,-0.10947527699396264,-0.08032893133444613,0.60460286656081,0.5335834896810507
63,CA1,0.5849625007211562,0.6878698844440256,0.10290738372286945,0.32274632563039024,0.33208255159474676
63,CA2,1.0,1.103102542830256,0.1031025428302561,0.35636750262343586,0.2022514071294559
64,NTC_1,0.0,-0.09495272450372827,-0.09495272450372827,0.3725236655641557,0.31729323308270674
64,KO1,-2.0,-2.1389969807140554,-0.13899698071405542,0.5104911641094836,0.4829268292682927
64,KO2,-1.3219280948873622,-1.388939521836492,-0.06701142694912976,0.5047815846376702,0.44859287054409014
64,KO3,-0.029146345659516508,0.008603431654718996,0.037749777314235504,0.47894442316471203,0.43583489681050663
64,CA1,0.5849625007211562,0.5804146308429514,-0.004547869878204769,0.43516526364321145,0.4221388367729832
64,CA2,1.0,0.9799736518390452,-0.020026348160954832,0.47839356233368957,0.41200750469043157
65,NTC_1,0.0,-0.05623974614069116,-0.05623974614069116,-0.15324033588357036,-0.15939849624060148
65,KO1,-2.0,-2.1922806721203054,-0.19228067212030542,0.4254137822387432,0.3242026266416511
65,KO2,-1.3219280948873622,-1.569413326310369,-0.2474852314230067,0.2269597169472981,0.1984990619136961
65,KO3,-0.029146345659516508,-0.1154657822124685,-0.08631943655295199,0.04412135365050279,0.04371482176360226
65,CA1,0.5849625007211562,0.5125263709552561,-0.07243612976590008,0.512118746945837,0.5393996247654785
65,CA2,1.0,0.8579567451007639,-0.14204325489923608,0.09635855494976926,0.07410881801125704
66,NTC_1,0.0,-0.05341400914117944,-0.05341400914117944,0.3912569540902966,0.4601503759398496
66,KO1,-2.0,-2.048433921860906,-0.048433921860906004,0.4386348320539004,0.4442776735459663
66,KO2,-1.3219280948873622,-1.3593203049175466,-0.03739221003018445,0.49153639893455625,0.45178236397748606
66,KO3,-0.029146345659516508,-0.015013835953923582,0.014132509705592926,0.5639358888987342,0.43039399624765484
66,CA1,0.5849625007211562,0.48897633738592017,-0.09598616333523602,0.5457737377555278,0.576547842401501
66,CA2,1.0,0.9968503493793284,-0.003149650620671629,0.5060309659064249,0.43789868667917453
67,NTC_1,0.0,-0.3380948524944509,-0.3380948524944509,0.5439959417860314,0.5624060150375939
67,KO1,-2.0,-1.9406830292217458,0.05931697077825415,0.3522538770372138,0.3232645403377111
67,KO2,-1.3219280948873622,-1.4887620430462087,-0.16683394815884656,0.5600047594832191,0.5275797373358351
67,KO3,-0.029146345659516508,-0.09865393452570093,-0.06950758886618441,0.27430050125500854,0.26228893058161357
67,CA1,0.5849625007211562,0.4455359954364573,-0.1394265052846989,0.541368749611767,0.5836772983114447
